"Facility","Date","Hour","ScheduledDepartures","DeparturesFor MetricComputation","DelayedGateDepartures","% DelayedGateDepartures","AverageMinutesOf DelayPer DelayedGateDeparture","ScheduledArrivals","ArrivalsFor MetricComputation","DelayedGateArrivals","% DelayedGateArrivals","AverageMinutesOf DelayPer DelayedGateArrival"
" PHL","01/02/2017","13","32","33","13","39.39","38.38","21","22","7","31.82","78.14"
" PHL","01/02/2017","14","20","19","4","21.05","80.75","37","36","13","36.11","42.23"
" PHL","01/02/2017","15","31","30","9","30.00","42.89","23","23","9","39.13","29.44"
" PHL","01/02/2017","16","29","29","12","41.38","40.17","50","54","29","53.70","53.59"
" PHL","01/02/2017","17","33","34","15","44.12","44.40","34","33","22","66.67","57.14"
" PHL","01/02/2017","18","48","48","25","52.08","46.20","20","19","15","78.95","69.67"
" PHL","01/02/2017","19","10","10","5","50.00","57.80","48","47","25","53.19","44.36"
" PHL","01/02/2017","20","42","42","12","28.57","42.75","8","7","4","57.14","86.25"
" PHL","01/02/2017","21","14","12","3","25.00","53.00","18","18","8","44.44","47.38"
" PHL","01/02/2017","22","7","7","5","71.43","28.40","16","16","7","43.75","31.86"
" PHL","01/02/2017","23","0","0","0","0.00","0.00","7","7","3","42.86","40.00"
" PHL","01/03/2017","0","0","0","0","0.00","0.00","5","10","4","40.00","29.00"
" PHL","01/03/2017","1","0","0","0","0.00","0.00","2","2","0","0.00","0.00"
" PHL","01/03/2017","2","0","1","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/03/2017","3","0","0","0","0.00","0.00","0","1","0","0.00","0.00"
" PHL","01/03/2017","4","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/03/2017","5","7","8","1","12.50","161.00","1","3","1","33.33","24.00"
" PHL","01/03/2017","6","17","17","0","0.00","0.00","18","18","1","5.56","24.00"
" PHL","01/03/2017","7","37","36","3","8.33","57.67","4","7","0","0.00","0.00"
" PHL","01/03/2017","8","12","16","2","12.50","24.00","46","45","13","28.89","44.85"
" PHL","01/03/2017","9","49","47","11","23.40","50.36","11","11","3","27.27","108.33"
" PHL","01/03/2017","10","20","22","5","22.73","33.80","39","38","10","26.32","43.20"
" PHL","01/03/2017","11","43","43","12","27.91","36.25","12","13","2","15.38","54.50"
" PHL","01/03/2017","12","10","13","5","38.46","44.60","32","35","15","42.86","40.93"
" PHL","01/03/2017","13","30","32","13","40.63","47.69","18","17","9","52.94","38.22"
" PHL","01/03/2017","14","20","20","7","35.00","29.71","40","41","23","56.10","34.52"
" PHL","01/03/2017","15","32","35","11","31.43","27.91","24","23","6","26.09","31.17"
" PHL","01/03/2017","16","29","28","11","39.29","55.64","48","49","23","46.94","45.43"
" PHL","01/03/2017","17","28","28","13","46.43","49.46","34","37","27","72.97","55.00"
" PHL","01/03/2017","18","49","47","16","34.04","40.44","19","18","12","66.67","56.58"
" PHL","01/03/2017","19","9","10","5","50.00","51.40","48","47","28","59.57","47.14"
" PHL","01/03/2017","20","39","38","13","34.21","42.23","7","9","5","55.56","74.40"
" PHL","01/03/2017","21","14","14","4","28.57","54.00","17","17","3","17.65","28.00"
" PHL","01/03/2017","22","6","12","1","8.33","15.00","17","19","5","26.32","70.20"
" PHL","01/03/2017","23","0","2","1","50.00","44.00","10","14","3","21.43","65.00"
" PHL","01/04/2017","0","0","0","0","0.00","0.00","4","10","1","10.00","106.00"
" PHL","01/04/2017","1","0","0","0","0.00","0.00","0","1","1","100.00","28.00"
" PHL","01/04/2017","2","0","2","2","100.00","30.50","0","0","0","0.00","0.00"
" PHL","01/04/2017","3","0","8","3","37.50","32.33","0","0","0","0.00","0.00"
" PHL","01/04/2017","4","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/04/2017","5","4","4","0","0.00","0.00","1","6","4","66.67","46.00"
" PHL","01/04/2017","6","17","17","1","5.88","20.00","17","21","7","33.33","47.14"
" PHL","01/04/2017","7","34","34","4","11.76","55.00","4","7","1","14.29","103.00"
" PHL","01/04/2017","8","13","20","2","10.00","28.50","45","45","10","22.22","53.90"
" PHL","01/04/2017","9","49","51","7","13.73","36.00","9","10","3","30.00","41.00"
" PHL","01/04/2017","10","19","22","3","13.64","28.67","36","37","11","29.73","43.91"
" PHL","01/04/2017","11","42","43","8","18.60","53.00","11","12","3","25.00","36.67"
" PHL","01/04/2017","12","9","12","3","25.00","24.00","33","34","9","26.47","83.56"
" PHL","01/04/2017","13","31","32","4","12.50","55.75","20","24","1","4.17","50.00"
" PHL","01/04/2017","14","22","23","8","34.78","51.50","39","41","7","17.07","43.86"
" PHL","01/04/2017","15","31","34","6","17.65","51.33","23","23","2","8.70","99.00"
" PHL","01/04/2017","16","30","32","4","12.50","31.75","50","50","5","10.00","37.20"
" PHL","01/04/2017","17","26","26","5","19.23","27.20","33","35","4","11.43","27.75"
" PHL","01/04/2017","18","52","53","7","13.21","29.14","20","24","4","16.67","59.25"
" PHL","01/04/2017","19","7","8","0","0.00","0.00","48","49","12","24.49","45.08"
" PHL","01/04/2017","20","40","39","9","23.08","31.67","9","9","0","0.00","0.00"
" PHL","01/04/2017","21","14","15","3","20.00","68.67","18","17","2","11.76","42.50"
" PHL","01/04/2017","22","6","12","1","8.33","75.00","15","15","2","13.33","41.50"
" PHL","01/04/2017","23","0","1","0","0.00","0.00","13","19","2","10.53","33.00"
" PHL","01/05/2017","0","0","1","1","100.00","15.00","5","10","2","20.00","30.50"
" PHL","01/05/2017","1","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/05/2017","2","0","2","2","100.00","32.50","0","0","0","0.00","0.00"
" PHL","01/05/2017","3","0","8","1","12.50","20.00","0","1","1","100.00","15.00"
" PHL","01/05/2017","4","0","0","0","0.00","0.00","0","1","0","0.00","0.00"
" PHL","01/05/2017","5","4","6","0","0.00","0.00","1","4","2","50.00","36.00"
" PHL","01/05/2017","6","18","18","0","0.00","0.00","16","18","3","16.67","34.00"
" PHL","01/05/2017","7","35","37","2","5.41","54.50","4","6","1","16.67","20.00"
" PHL","01/05/2017","8","14","20","3","15.00","22.67","46","45","4","8.89","66.75"
" PHL","01/05/2017","9","50","48","9","18.75","50.56","10","12","1","8.33","74.00"
" PHL","01/05/2017","10","20","24","3","12.50","23.67","40","38","3","7.89","46.00"
" PHL","01/05/2017","11","43","42","5","11.90","91.60","9","10","3","30.00","32.67"
" PHL","01/05/2017","12","10","11","2","18.18","51.50","35","38","9","23.68","55.78"
" PHL","01/05/2017","13","31","33","5","15.15","42.60","20","21","2","9.52","37.00"
" PHL","01/05/2017","14","21","22","5","22.73","49.20","38","36","4","11.11","35.25"
" PHL","01/05/2017","15","30","34","5","14.71","32.20","25","27","6","22.22","54.67"
" PHL","01/05/2017","16","31","35","10","28.57","66.90","48","50","5","10.00","44.20"
" PHL","01/05/2017","17","26","26","2","7.69","69.50","32","37","6","16.22","90.83"
" PHL","01/05/2017","18","52","50","2","4.00","34.00","19","23","5","21.74","25.60"
" PHL","01/05/2017","19","6","6","0","0.00","0.00","48","50","16","32.00","34.06"
" PHL","01/05/2017","20","39","38","11","28.95","33.55","9","10","3","30.00","41.33"
" PHL","01/05/2017","21","15","16","8","50.00","48.88","18","16","3","18.75","52.33"
" PHL","01/05/2017","22","5","12","3","25.00","23.67","16","16","5","31.25","35.80"
" PHL","01/05/2017","23","0","0","0","0.00","0.00","10","14","3","21.43","35.33"
" PHL","01/06/2017","0","0","0","0","0.00","0.00","5","11","3","27.27","45.00"
" PHL","01/06/2017","1","0","0","0","0.00","0.00","0","1","1","100.00","25.00"
" PHL","01/06/2017","2","0","2","1","50.00","18.00","0","0","0","0.00","0.00"
" PHL","01/06/2017","3","0","8","5","62.50","22.00","0","0","0","0.00","0.00"
" PHL","01/06/2017","4","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/06/2017","5","4","4","0","0.00","0.00","1","6","4","66.67","35.75"
" PHL","01/06/2017","6","18","18","1","5.56","18.00","16","18","6","33.33","39.00"
" PHL","01/06/2017","7","36","36","3","8.33","61.33","5","5","2","40.00","19.00"
" PHL","01/06/2017","8","13","15","2","13.33","23.00","46","42","8","19.05","40.13"
" PHL","01/06/2017","9","50","49","4","8.16","20.75","10","11","2","18.18","39.00"
" PHL","01/06/2017","10","20","22","5","22.73","47.40","41","39","6","15.38","68.83"
" PHL","01/06/2017","11","43","44","7","15.91","77.14","8","7","1","14.29","19.00"
" PHL","01/06/2017","12","11","11","1","9.09","16.00","36","37","5","13.51","29.60"
" PHL","01/06/2017","13","31","30","12","40.00","46.42","20","21","3","14.29","139.67"
" PHL","01/06/2017","14","21","21","7","33.33","66.71","39","40","8","20.00","40.25"
" PHL","01/06/2017","15","30","29","8","27.59","42.50","24","24","5","20.83","34.80"
" PHL","01/06/2017","16","30","29","6","20.69","71.33","50","49","7","14.29","33.71"
" PHL","01/06/2017","17","28","27","6","22.22","54.17","32","35","10","28.57","64.30"
" PHL","01/06/2017","18","51","49","13","26.53","42.92","19","20","8","40.00","76.50"
" PHL","01/06/2017","19","5","5","3","60.00","46.00","48","48","11","22.92","43.82"
" PHL","01/06/2017","20","39","37","12","32.43","34.83","9","10","4","40.00","52.00"
" PHL","01/06/2017","21","15","13","1","7.69","16.00","17","15","4","26.67","65.50"
" PHL","01/06/2017","22","5","7","1","14.29","32.00","16","15","1","6.67","41.00"
" PHL","01/06/2017","23","0","1","0","0.00","0.00","12","11","5","45.45","36.40"
" PHL","01/07/2017","0","0","0","0","0.00","0.00","3","5","1","20.00","203.00"
" PHL","01/07/2017","3","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/07/2017","5","4","3","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","01/07/2017","6","19","15","1","6.67","154.00","14","12","3","25.00","71.67"
" PHL","01/07/2017","7","34","29","2","6.90","35.00","5","4","2","50.00","22.00"
" PHL","01/07/2017","8","11","9","2","22.22","28.00","45","39","20","51.28","35.90"
" PHL","01/07/2017","9","51","44","20","45.45","59.05","7","10","4","40.00","104.00"
" PHL","01/07/2017","10","23","17","5","29.41","76.00","40","35","18","51.43","75.28"
" PHL","01/07/2017","11","42","27","15","55.56","59.80","8","6","2","33.33","27.00"
" PHL","01/07/2017","12","11","11","4","36.36","57.00","31","16","10","62.50","65.50"
" PHL","01/07/2017","13","29","11","3","27.27","44.67","23","12","7","58.33","107.86"
" PHL","01/07/2017","14","21","16","10","62.50","44.80","39","24","17","70.83","123.35"
" PHL","01/07/2017","15","32","17","12","70.59","86.25","26","15","11","73.33","174.27"
" PHL","01/07/2017","16","26","21","12","57.14","60.67","49","38","22","57.89","103.36"
" PHL","01/07/2017","17","26","17","13","76.47","54.31","27","14","13","92.86","100.85"
" PHL","01/07/2017","18","49","31","26","83.87","84.69","21","13","9","69.23","112.67"
" PHL","01/07/2017","19","6","4","1","25.00","164.00","41","21","13","61.90","105.77"
" PHL","01/07/2017","20","25","10","9","90.00","60.78","9","6","3","50.00","27.33"
" PHL","01/07/2017","21","10","4","4","100.00","63.50","12","8","4","50.00","67.25"
" PHL","01/07/2017","22","3","1","0","0.00","0.00","15","10","5","50.00","48.00"
" PHL","01/07/2017","23","0","3","0","0.00","0.00","7","4","2","50.00","75.50"
" PHL","01/08/2017","0","0","1","0","0.00","0.00","4","2","0","0.00","0.00"
" PHL","01/08/2017","1","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/08/2017","2","0","0","0","0.00","0.00","0","2","1","50.00","61.00"
" PHL","01/08/2017","3","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/08/2017","4","0","0","0","0.00","0.00","1","0","0","0.00","0.00"
" PHL","01/08/2017","5","3","4","2","50.00","34.50","1","1","0","0.00","0.00"
" PHL","01/08/2017","6","14","14","8","57.14","39.75","11","11","7","63.64","43.00"
" PHL","01/08/2017","7","30","27","9","33.33","42.22","3","1","0","0.00","0.00"
" PHL","01/08/2017","8","13","17","6","35.29","46.33","48","34","10","29.41","53.30"
" PHL","01/08/2017","9","50","44","21","47.73","53.48","7","9","5","55.56","43.40"
" PHL","01/08/2017","10","28","25","10","40.00","47.40","38","33","11","33.33","46.09"
" PHL","01/08/2017","11","42","42","14","33.33","67.50","6","10","3","30.00","65.67"
" PHL","01/08/2017","12","6","8","5","62.50","25.40","34","32","17","53.13","50.88"
" PHL","01/08/2017","13","29","26","15","57.69","68.00","22","22","6","27.27","56.17"
" PHL","01/08/2017","14","21","21","6","28.57","50.17","43","39","12","30.77","43.33"
" PHL","01/08/2017","15","36","35","13","37.14","36.23","23","23","5","21.74","63.40"
" PHL","01/08/2017","16","32","29","11","37.93","31.64","48","50","19","38.00","50.00"
" PHL","01/08/2017","17","28","31","13","41.94","42.00","30","31","10","32.26","49.60"
" PHL","01/08/2017","18","51","48","18","37.50","56.39","20","22","11","50.00","35.91"
" PHL","01/08/2017","19","8","8","1","12.50","36.00","51","46","17","36.96","58.18"
" PHL","01/08/2017","20","38","38","14","36.84","42.86","8","9","4","44.44","50.25"
" PHL","01/08/2017","21","15","14","5","35.71","34.80","13","14","7","50.00","36.86"
" PHL","01/08/2017","22","6","7","3","42.86","59.67","17","18","9","50.00","41.44"
" PHL","01/08/2017","23","0","0","0","0.00","0.00","13","13","5","38.46","31.60"
" PHL","01/09/2017","0","0","0","0","0.00","0.00","5","4","1","25.00","35.00"
" PHL","01/09/2017","1","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/09/2017","2","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/09/2017","3","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/09/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
